Product Name,Price,Rating
A Light in the Attic,51.77,One
Tipping the Velvet,53.74,One
Soumission,50.10,Four
Sharp Objects,47.82,Five
Sapiens: A Brief History of Humankind,54.23,One
The Requiem Red,22.65,Four
The Dirty Little Secrets of Getting Your Dream Job,33.34,Three
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull,17.93,Four
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,One
The Black Maria,52.15,Two
Starving Hearts (Triangular Trade Trilogy, #1),13.99,Four
Shakespeare&#39;s Sonnets,20.66,Five
Set Me Free,17.46,Five
Scott Pilgrim&#39;s Precious Little Life (Scott Pilgrim #1),52.29,Five
Rip it Up and Start Again,35.02,Three
Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991,57.25,One
Olio,23.88,One
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Two
Libertarianism for Beginners,51.33,Two
